025120-99999 SAVE                            57.775   11.870    18.0 1935-01-01 2017-01-02
025130-99999 GOTEBORG                        57.717   12.000     2.0 1996-05-01 2020-02-06
025180-99999 NIDINGEN                        57.300   11.900     2.0 1973-01-01 2020-02-06
025200-99999 SATENAS                         58.426   12.714    55.2 1977-07-01 2020-02-06
025240-99999 MOLLA                           57.933   13.067   190.0 1973-01-01 2006-03-31
025260-99999 LANDVETTER                      57.663   12.280   154.2 1977-10-03 2020-02-06
025300-99999 NASHUVUD                        58.900   13.250    50.0 1977-07-01 1996-01-27
025350-99999 SKOVDE                          58.456   13.973    98.8 1991-08-27 2020-02-06
025360-99999 RANGEDALA                       57.783   13.167   299.0 1977-07-01 2020-02-06
025390-99999 ULLARED                         57.117   12.783   122.0 2001-07-01 2020-02-06
025400-99999 KROPPEFJALL-GRANAN              58.600   12.200   174.0 2001-07-01 2020-02-06
025420-99999 HALLUM                          58.317   13.033    71.0 2001-07-01 2020-02-06
025440-99999 KARLSBORG                       58.517   14.517    94.0 1977-07-01 2020-02-06
025460-99999 GARDSJO                         58.883   14.383   212.0 2001-07-01 2020-02-06
025480-99999 VISINGSO                        58.100   14.417    95.0 2001-06-01 2020-02-06
025490-99999 TOMTABACKEN                     57.500   14.467   356.0 2001-07-01 2020-02-06
025500-99999 JONKOPING                       57.758   14.069   225.9 1931-01-01 2020-02-06
025540-99999 KETTSTAKA                       58.717   15.033   225.0 2001-07-01 2020-02-06
025550-99999 NASSJO                          57.650   14.700   305.0 1977-07-01 2003-01-02
025560-99999 HAGSHULT                        57.292   14.137   169.5 1977-07-01 2020-02-06
025570-99999 HORN                            57.883   15.867    91.0 2001-07-01 2020-02-06
025580-99999 KOLMARDEN-STROMSFORS            58.683   16.317   155.0 2001-07-01 2020-02-06
025620-99999 MALMEN                          58.402   15.526    93.9 1977-07-01 2020-02-06
025625-99999 SAAB                            58.406   15.681    52.4 1995-10-12 2020-02-06
025635-99999 ANGELHOLM                       56.283   12.833    47.0 2004-08-10 2020-02-06
025640-99999 MALEXANDER                      58.067   15.233   200.0 1977-07-01 2005-06-21
025650-99999 HULTSFRED                       57.526   15.823   111.6 1979-08-06 2020-02-06
025660-99999 MALILLA                         57.400   15.817    98.0 1973-01-01 2015-01-28
025700-99999 NORRKOPING/BRAVALLA             58.617   16.117    33.0 1977-07-01 2015-01-29
025710-99999 KUNGSANGEN                      58.586   16.251     9.8 1977-07-01 2020-02-06
025740-99999 NORRKOPING                      58.583   16.150    41.6 1997-09-01 2020-02-06
025760-99999 GLADHAMMAR                      57.717   16.467    35.0 1977-07-01 2002-11-02
025820-99999 LANDSORT (LGT-H)                58.750   17.867    32.0 1935-01-01 2006-10-25
025840-99999 GOTSKA SANDON                   58.400   19.200    12.0 1935-01-01 2006-12-31
025860-99999 HARSTENA                        58.250   17.017     7.0 1977-07-01 2005-02-15
025870-99999 FAROSUND-AR                     57.917   18.950    13.0 2001-07-01 2020-02-06
025880-99999 FARO ISLAND                     57.900   19.167     8.0 1977-07-01 2002-05-13
025900-99999 VISBY                           57.663   18.346    50.0 1931-01-01 2020-02-06
025920-99999 OLANDS NORRA UDDE               57.367   17.100     4.0 1935-01-01 2002-05-16
025980-99999 OSTERGARNSHOLM                  57.433   18.983     5.0 2001-07-01 2020-02-06
026040-99999 HALMSTAD                        56.691   12.820    30.8 1977-07-01 2020-02-06
026050-99999 HALLANDS VADERO                 56.450   12.550    10.0 1996-08-01 2020-02-06
026060-99999 KULLEN (LGT-H)                  56.300   12.450    72.0 1977-07-01 2005-09-01
026070-99999 ANGELHOLM/BARKAKRA              56.283   12.083    18.0 1977-07-01 2008-12-31
026110-99999 HELSINGBORG                     56.033   12.767    44.0 1984-06-18 2020-02-06
026160-99999 FALSTERBO                       55.383   12.817     5.0 1977-07-01 2020-02-06
026220-99999 LJUNGBY                         56.850   13.883   148.0 1977-07-01 2020-02-06
026230-99999 HORBY                           55.867   13.667   114.0 2001-08-27 2020-02-06
026250-99999 SKILLINGE                       55.483   14.317     5.0 1996-08-01 2020-02-06
026260-99999 OSBY                            56.367   13.950    85.0 1977-07-01 2020-02-06
026280-99999 HANO                            56.017   14.850    60.0 1996-08-01 2020-02-06
